score_bucket,count,actual_default_rate,mean_score
"(571.326, 643.585]",6151,0.2791416029913835,629.1015336573979
"(643.585, 657.203]",6150,0.1513821138211382,650.8364018547175
"(657.203, 667.22]",6150,0.10065040650406504,662.4152045683381
"(667.22, 675.624]",6150,0.08373983739837398,671.5138117151006
"(675.624, 683.47]",6151,0.06259144854495204,679.604167344469
"(683.47, 691.077]",6150,0.04276422764227642,687.3099774844459
"(691.077, 699.129]",6150,0.02991869918699187,695.0442660875353
"(699.129, 708.077]",6150,0.024715447154471545,703.4110170343059
"(708.077, 720.343]",6150,0.02032520325203252,713.7776554876576
"(720.343, 789.039]",6151,0.01203056413591286,732.7201849405423
